"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","CPI","TOT","AGRWTH","M","2008-11",1.069575,
"USA","CPI","TOT","AGRWTH","M","2008-12",0.0914129,
"USA","CPI","TOT","AGRWTH","M","2009-01",0.0298465,
"USA","CPI","TOT","AGRWTH","M","2009-02",0.2361911,
"USA","CPI","TOT","AGRWTH","M","2009-03",-0.3835562,
"USA","CPI","TOT","AGRWTH","M","2009-04",-0.7368857,
"USA","CPI","TOT","AGRWTH","M","2009-05",-1.281436,
"USA","CPI","TOT","AGRWTH","M","2009-06",-1.426776,
"USA","CPI","TOT","AGRWTH","M","2009-07",-2.097161,
"USA","CPI","TOT","AGRWTH","M","2009-08",-1.484349,
"USA","CPI","TOT","AGRWTH","M","2009-09",-1.286206,
"USA","CPI","TOT","AGRWTH","M","2009-10",-0.1828483,
"USA","CPI","TOT","AGRWTH","M","2009-11",1.838296,
"USA","CPI","TOT","AGRWTH","M","2009-12",2.721331,
"USA","CPI","TOT","AGRWTH","M","2010-01",2.625709,
"USA","CPI","TOT","AGRWTH","M","2010-02",2.143332,
"USA","CPI","TOT","AGRWTH","M","2010-03",2.313959,
"USA","CPI","TOT","AGRWTH","M","2010-04",2.236447,
"USA","CPI","TOT","AGRWTH","M","2010-05",2.020986,
"USA","CPI","TOT","AGRWTH","M","2010-06",1.053349,
"USA","CPI","TOT","AGRWTH","M","2010-07",1.235193,
"USA","CPI","TOT","AGRWTH","M","2010-08",1.148105,
"USA","CPI","TOT","AGRWTH","M","2010-09",1.143683,
"USA","CPI","TOT","AGRWTH","M","2010-10",1.172188,
"USA","CPI","TOT","AGRWTH","M","2010-11",1.143161,
"USA","CPI","TOT","AGRWTH","M","2010-12",1.495723,
"USA","CPI","TOT","AGRWTH","M","2011-01",1.631847,
"USA","CPI","TOT","AGRWTH","M","2011-02",2.107585,
"USA","CPI","TOT","AGRWTH","M","2011-03",2.681603,
"USA","CPI","TOT","AGRWTH","M","2011-04",3.163631,
"USA","CPI","TOT","AGRWTH","M","2011-05",3.568646,
"USA","CPI","TOT","AGRWTH","M","2011-06",3.558828,
"USA","CPI","TOT","AGRWTH","M","2011-07",3.628716,
"USA","CPI","TOT","AGRWTH","M","2011-08",3.771208,
"USA","CPI","TOT","AGRWTH","M","2011-09",3.868357,
"USA","CPI","TOT","AGRWTH","M","2011-10",3.5252,
"USA","CPI","TOT","AGRWTH","M","2011-11",3.394378,
"USA","CPI","TOT","AGRWTH","M","2011-12",2.962419,
"USA","CPI","TOT","AGRWTH","M","2012-01",2.925217,
"USA","CPI","TOT","AGRWTH","M","2012-02",2.871099,
"USA","CPI","TOT","AGRWTH","M","2012-03",2.651398,
"USA","CPI","TOT","AGRWTH","M","2012-04",2.30274,
"USA","CPI","TOT","AGRWTH","M","2012-05",1.704254,
"USA","CPI","TOT","AGRWTH","M","2012-06",1.663994,
"USA","CPI","TOT","AGRWTH","M","2012-07",1.408451,
"USA","CPI","TOT","AGRWTH","M","2012-08",1.692379,
"USA","CPI","TOT","AGRWTH","M","2012-09",1.991282,
"USA","CPI","TOT","AGRWTH","M","2012-10",2.162344,
"USA","CPI","TOT","AGRWTH","M","2012-11",1.764134,
"USA","CPI","TOT","AGRWTH","M","2012-12",1.741022,
"USA","CPI","TOT","AGRWTH","M","2013-01",1.594865,
"USA","CPI","TOT","AGRWTH","M","2013-02",1.977924,
"USA","CPI","TOT","AGRWTH","M","2013-03",1.473896,
"USA","CPI","TOT","AGRWTH","M","2013-04",1.063085,
"USA","CPI","TOT","AGRWTH","M","2013-05",1.361965,
"USA","CPI","TOT","AGRWTH","M","2013-06",1.754417,
"USA","CPI","TOT","AGRWTH","M","2013-07",1.960682,
"USA","CPI","TOT","AGRWTH","M","2013-08",1.518368,
"USA","CPI","TOT","AGRWTH","M","2013-09",1.184925,
"USA","CPI","TOT","AGRWTH","M","2013-10",0.9636127,
"USA","CPI","TOT","AGRWTH","M","2013-11",1.237072,
"USA","CPI","TOT","AGRWTH","M","2013-12",1.501736,
"USA","CPI","TOT","AGRWTH","M","2014-01",1.578947,
"USA","CPI","TOT","AGRWTH","M","2014-02",1.126349,
"USA","CPI","TOT","AGRWTH","M","2014-03",1.512203,
"USA","CPI","TOT","AGRWTH","M","2014-04",1.952858,
"USA","CPI","TOT","AGRWTH","M","2014-05",2.127111,
"USA","CPI","TOT","AGRWTH","M","2014-06",2.072341,
"USA","CPI","TOT","AGRWTH","M","2014-07",1.992329,
"USA","CPI","TOT","AGRWTH","M","2014-08",1.699611,
"USA","CPI","TOT","AGRWTH","M","2014-09",1.657919,
"USA","CPI","TOT","AGRWTH","M","2014-10",1.66434,
"USA","CPI","TOT","AGRWTH","M","2014-11",1.322355,
"USA","CPI","TOT","AGRWTH","M","2014-12",0.7564933,
"USA","CPI","TOT","AGRWTH","M","2015-01",-0.08934832,
"USA","CPI","TOT","AGRWTH","M","2015-02",-0.0251298,
"USA","CPI","TOT","AGRWTH","M","2015-03",-0.07363739,
"USA","CPI","TOT","AGRWTH","M","2015-04",-0.1995174,
"USA","CPI","TOT","AGRWTH","M","2015-05",-0.03993275,
"USA","CPI","TOT","AGRWTH","M","2015-06",0.1237712,
"USA","CPI","TOT","AGRWTH","M","2015-07",0.1695698,
"USA","CPI","TOT","AGRWTH","M","2015-08",0.1950793,
"USA","CPI","TOT","AGRWTH","M","2015-09",-0.03612975,
"USA","CPI","TOT","AGRWTH","M","2015-10",0.1705744,
"USA","CPI","TOT","AGRWTH","M","2015-11",0.5017976,
"USA","CPI","TOT","AGRWTH","M","2015-12",0.7295198,
"USA","CPI","TOT","AGRWTH","M","2016-01",1.373087,
"USA","CPI","TOT","AGRWTH","M","2016-02",1.0178,
"USA","CPI","TOT","AGRWTH","M","2016-03",0.8525362,
"USA","CPI","TOT","AGRWTH","M","2016-04",1.12511,
"USA","CPI","TOT","AGRWTH","M","2016-05",1.019323,
"USA","CPI","TOT","AGRWTH","M","2016-06",0.9973265,
"USA","CPI","TOT","AGRWTH","M","2016-07",0.8271388,
"USA","CPI","TOT","AGRWTH","M","2016-08",1.062875,
"USA","CPI","TOT","AGRWTH","M","2016-09",1.463784,
"USA","CPI","TOT","AGRWTH","M","2016-10",1.635988,
"USA","CPI","TOT","AGRWTH","M","2016-11",1.692537,
"USA","CPI","TOT","AGRWTH","M","2016-12",2.074622,
"USA","CPI","TOT","AGRWTH","M","2017-01",2.500042,
"USA","CPI","TOT","AGRWTH","M","2017-02",2.737958,
"USA","CPI","TOT","AGRWTH","M","2017-03",2.380612,
"USA","CPI","TOT","AGRWTH","M","2017-04",2.19969,
"USA","CPI","TOT","AGRWTH","M","2017-05",1.874878,
"USA","CPI","TOT","AGRWTH","M","2017-06",1.633488,
"USA","CPI","TOT","AGRWTH","M","2017-07",1.727978,
"USA","CPI","TOT","AGRWTH","M","2017-08",1.938974,
"USA","CPI","TOT","AGRWTH","M","2017-09",2.232964,
"USA","CPI","TOT","AGRWTH","M","2017-10",2.041129,
"USA","CPI","TOT","AGRWTH","M","2017-11",2.202583,
"USA","CPI","TOT","AGRWTH","M","2017-12",2.109082,
"USA","CPI","TOT","AGRWTH","M","2018-01",2.070508,
"USA","CPI","TOT","AGRWTH","M","2018-02",2.211795,
"USA","CPI","TOT","AGRWTH","M","2018-03",2.359711,
"USA","CPI","TOT","AGRWTH","M","2018-04",2.462744,
"USA","CPI","TOT","AGRWTH","M","2018-05",2.801012,
"USA","CPI","TOT","AGRWTH","M","2018-06",2.871548,
"USA","CPI","TOT","AGRWTH","M","2018-07",2.949515,
"USA","CPI","TOT","AGRWTH","M","2018-08",2.69918,
"USA","CPI","TOT","AGRWTH","M","2018-09",2.276972,
"USA","CPI","TOT","AGRWTH","M","2018-10",2.52247,
"USA","CPI","TOT","AGRWTH","M","2018-11",2.176601,
"USA","CPI","TOT","AGRWTH","M","2018-12",1.910159,
"USA","CPI","TOT","AGRWTH","M","2019-01",1.551235,
"USA","CPI","TOT","AGRWTH","M","2019-02",1.520135,
"USA","CPI","TOT","AGRWTH","M","2019-03",1.862523,
"USA","CPI","TOT","AGRWTH","M","2019-04",1.99644,
"USA","CPI","TOT","AGRWTH","M","2019-05",1.790228,
"USA","CPI","TOT","AGRWTH","M","2019-06",1.648485,
"USA","CPI","TOT","AGRWTH","M","2019-07",1.811465,
"USA","CPI","TOT","AGRWTH","M","2019-08",1.74978,
"USA","CPI","TOT","AGRWTH","M","2019-09",1.711305,
"USA","CPI","TOT","AGRWTH","M","2019-10",1.764043,
"USA","CPI","TOT","AGRWTH","M","2019-11",2.051278,
"USA","CPI","TOT","AGRWTH","M","2019-12",2.28513,
"USA","CPI","TOT","AGRWTH","M","2020-01",2.486572,
"USA","CPI","TOT","AGRWTH","M","2020-02",2.334874,
"USA","CPI","TOT","AGRWTH","M","2020-03",1.539327,
"USA","CPI","TOT","AGRWTH","M","2020-04",0.3290967,
"USA","CPI","TOT","AGRWTH","M","2020-05",0.1179264,
"USA","CPI","TOT","AGRWTH","M","2020-06",0.6457331,
"USA","CPI","TOT","AGRWTH","M","2020-07",0.9860818,
"USA","CPI","TOT","AGRWTH","M","2020-08",1.309645,
"USA","CPI","TOT","AGRWTH","M","2020-09",1.371325,
"USA","CPI","TOT","AGRWTH","M","2020-10",1.182066,
"USA","CPI","TOT","AGRWTH","M","2020-11",1.174536,
"USA","CPI","TOT","AGRWTH","M","2020-12",1.362005,
"USA","CPI","TOT","AGRWTH","M","2021-01",1.39977,
"USA","CPI","TOT","AGRWTH","M","2021-02",1.676215,
"USA","CPI","TOT","AGRWTH","M","2021-03",2.619762,
"USA","CPI","TOT","AGRWTH","M","2021-04",4.159695,
"USA","CPI","TOT","AGRWTH","M","2021-05",4.992707,
"USA","CPI","TOT","AGRWTH","M","2021-06",5.391451,
"USA","CPI","TOT","AGRWTH","M","2021-07",5.365475,
"USA","CPI","TOT","AGRWTH","M","2021-08",5.251272,
"USA","CPI","TOT","AGRWTH","M","2021-09",5.390349,
"USA","CPI","TOT","AGRWTH","M","2021-10",6.221869,
"USA","CPI","TOT","AGRWTH","M","2021-11",6.809003,
"USA","CPI","TOT","AGRWTH","M","2021-12",7.036403,
"USA","CPI","TOT","AGRWTH","M","2022-01",7.479873,
"USA","CPI","TOT","AGRWTH","M","2022-02",7.871064,
"USA","CPI","TOT","AGRWTH","M","2022-03",8.542456,
"USA","CPI","TOT","AGRWTH","M","2022-04",8.25863,
"USA","CPI","TOT","AGRWTH","M","2022-05",8.581511,
"USA","CPI","TOT","AGRWTH","M","2022-06",9.059758,
"USA","CPI","TOT","AGRWTH","M","2022-07",8.524815,
"USA","CPI","TOT","AGRWTH","M","2022-08",8.262692,
"USA","CPI","TOT","AGRWTH","M","2022-09",8.20167,
"USA","CPI","TOT","AGRWTH","M","2022-10",7.745427,
"USA","CPI","TOT","AGRWTH","M","2022-11",7.110323,
"USA","CPI","TOT","AGRWTH","M","2022-12",6.454401,
"USA","CPI","TOT","AGRWTH","M","2023-01",6.410147,
"USA","CPI","TOT","AGRWTH","M","2023-02",6.035613,
"USA","CPI","TOT","AGRWTH","M","2023-03",4.984974,
"USA","CPI","TOT","AGRWTH","M","2023-04",4.93032,
"USA","CPI","TOT","AGRWTH","M","2023-05",4.047609,
"USA","CPI","TOT","AGRWTH","M","2023-06",2.969178,
"USA","CPI","TOT","AGRWTH","M","2023-07",3.17778,
"USA","CPI","TOT","AGRWTH","M","2023-08",3.665112,
"USA","CPI","TOT","AGRWTH","M","2023-09",3.699698,
"OECD","CPI","TOT","AGRWTH","M","2005-01",2.517723,
"OECD","CPI","TOT","AGRWTH","M","2005-02",2.519134,
"OECD","CPI","TOT","AGRWTH","M","2005-03",2.607961,
"OECD","CPI","TOT","AGRWTH","M","2005-04",2.740436,
"OECD","CPI","TOT","AGRWTH","M","2005-05",2.386597,
"OECD","CPI","TOT","AGRWTH","M","2005-06",2.206041,
"OECD","CPI","TOT","AGRWTH","M","2005-07",2.555403,
"OECD","CPI","TOT","AGRWTH","M","2005-08",2.740562,
"OECD","CPI","TOT","AGRWTH","M","2005-09",3.27221,
"OECD","CPI","TOT","AGRWTH","M","2005-10",3.008618,
"OECD","CPI","TOT","AGRWTH","M","2005-11",2.561453,
"OECD","CPI","TOT","AGRWTH","M","2005-12",2.604457,
"OECD","CPI","TOT","AGRWTH","M","2006-01",2.973532,
"OECD","CPI","TOT","AGRWTH","M","2006-02",2.76822,
"OECD","CPI","TOT","AGRWTH","M","2006-03",2.585637,
"OECD","CPI","TOT","AGRWTH","M","2006-04",2.789944,
"OECD","CPI","TOT","AGRWTH","M","2006-05",3.120327,
"OECD","CPI","TOT","AGRWTH","M","2006-06",3.23536,
"OECD","CPI","TOT","AGRWTH","M","2006-07",3.162084,
"OECD","CPI","TOT","AGRWTH","M","2006-08",3.067904,
"OECD","CPI","TOT","AGRWTH","M","2006-09",2.181348,
"OECD","CPI","TOT","AGRWTH","M","2006-10",1.758461,
"OECD","CPI","TOT","AGRWTH","M","2006-11",2.096813,
"OECD","CPI","TOT","AGRWTH","M","2006-12",2.357082,
"OECD","CPI","TOT","AGRWTH","M","2007-01",2.088909,
"OECD","CPI","TOT","AGRWTH","M","2007-02",2.261362,
"OECD","CPI","TOT","AGRWTH","M","2007-03",2.504842,
"OECD","CPI","TOT","AGRWTH","M","2007-04",2.416142,
"OECD","CPI","TOT","AGRWTH","M","2007-05",2.395796,
"OECD","CPI","TOT","AGRWTH","M","2007-06",2.376776,
"OECD","CPI","TOT","AGRWTH","M","2007-07",2.192996,
"OECD","CPI","TOT","AGRWTH","M","2007-08",1.977332,
"OECD","CPI","TOT","AGRWTH","M","2007-09",2.414613,
"OECD","CPI","TOT","AGRWTH","M","2007-10",2.969312,
"OECD","CPI","TOT","AGRWTH","M","2007-11",3.514793,
"OECD","CPI","TOT","AGRWTH","M","2007-12",3.455733,
"OECD","CPI","TOT","AGRWTH","M","2008-01",3.622232,
"OECD","CPI","TOT","AGRWTH","M","2008-02",3.587986,
"OECD","CPI","TOT","AGRWTH","M","2008-03",3.653136,
"OECD","CPI","TOT","AGRWTH","M","2008-04",3.588476,
"OECD","CPI","TOT","AGRWTH","M","2008-05",3.95676,
"OECD","CPI","TOT","AGRWTH","M","2008-06",4.522899,
"OECD","CPI","TOT","AGRWTH","M","2008-07",4.928915,
"OECD","CPI","TOT","AGRWTH","M","2008-08",4.775963,
"OECD","CPI","TOT","AGRWTH","M","2008-09",4.522099,
"OECD","CPI","TOT","AGRWTH","M","2008-10",3.790833,
"OECD","CPI","TOT","AGRWTH","M","2008-11",2.314177,
"OECD","CPI","TOT","AGRWTH","M","2008-12",1.616723,
"OECD","CPI","TOT","AGRWTH","M","2009-01",1.369541,
"OECD","CPI","TOT","AGRWTH","M","2009-02",1.41831,
"OECD","CPI","TOT","AGRWTH","M","2009-03",0.9694963,
"OECD","CPI","TOT","AGRWTH","M","2009-04",0.709382,
"OECD","CPI","TOT","AGRWTH","M","2009-05",0.1634544,
"OECD","CPI","TOT","AGRWTH","M","2009-06",-0.07336184,
"OECD","CPI","TOT","AGRWTH","M","2009-07",-0.5912629,
"OECD","CPI","TOT","AGRWTH","M","2009-08",-0.2645227,
"OECD","CPI","TOT","AGRWTH","M","2009-09",-0.2696652,
"OECD","CPI","TOT","AGRWTH","M","2009-10",0.2142385,
"OECD","CPI","TOT","AGRWTH","M","2009-11",1.279601,
"OECD","CPI","TOT","AGRWTH","M","2009-12",1.835308,
"OECD","CPI","TOT","AGRWTH","M","2010-01",2.047299,
"OECD","CPI","TOT","AGRWTH","M","2010-02",1.87999,
"OECD","CPI","TOT","AGRWTH","M","2010-03",2.047934,
"OECD","CPI","TOT","AGRWTH","M","2010-04",2.065891,
"OECD","CPI","TOT","AGRWTH","M","2010-05",1.944904,
"OECD","CPI","TOT","AGRWTH","M","2010-06",1.46048,
"OECD","CPI","TOT","AGRWTH","M","2010-07",1.575584,
"OECD","CPI","TOT","AGRWTH","M","2010-08",1.51462,
"OECD","CPI","TOT","AGRWTH","M","2010-09",1.629914,
"OECD","CPI","TOT","AGRWTH","M","2010-10",1.78033,
"OECD","CPI","TOT","AGRWTH","M","2010-11",1.724505,
"OECD","CPI","TOT","AGRWTH","M","2010-12",1.966686,
"OECD","CPI","TOT","AGRWTH","M","2011-01",2.044078,
"OECD","CPI","TOT","AGRWTH","M","2011-02",2.266632,
"OECD","CPI","TOT","AGRWTH","M","2011-03",2.558811,
"OECD","CPI","TOT","AGRWTH","M","2011-04",2.791602,
"OECD","CPI","TOT","AGRWTH","M","2011-05",3.03902,
"OECD","CPI","TOT","AGRWTH","M","2011-06",3.001525,
"OECD","CPI","TOT","AGRWTH","M","2011-07",3.078351,
"OECD","CPI","TOT","AGRWTH","M","2011-08",3.164135,
"OECD","CPI","TOT","AGRWTH","M","2011-09",3.215878,
"OECD","CPI","TOT","AGRWTH","M","2011-10",3.081021,
"OECD","CPI","TOT","AGRWTH","M","2011-11",3.079358,
"OECD","CPI","TOT","AGRWTH","M","2011-12",2.850696,
"OECD","CPI","TOT","AGRWTH","M","2012-01",2.792592,
"OECD","CPI","TOT","AGRWTH","M","2012-02",2.789646,
"OECD","CPI","TOT","AGRWTH","M","2012-03",2.646398,
"OECD","CPI","TOT","AGRWTH","M","2012-04",2.46293,
"OECD","CPI","TOT","AGRWTH","M","2012-05",2.063907,
"OECD","CPI","TOT","AGRWTH","M","2012-06",2.000701,
"OECD","CPI","TOT","AGRWTH","M","2012-07",1.881696,
"OECD","CPI","TOT","AGRWTH","M","2012-08",2.057761,
"OECD","CPI","TOT","AGRWTH","M","2012-09",2.213117,
"OECD","CPI","TOT","AGRWTH","M","2012-10",2.235478,
"OECD","CPI","TOT","AGRWTH","M","2012-11",1.937891,
"OECD","CPI","TOT","AGRWTH","M","2012-12",1.861859,
"OECD","CPI","TOT","AGRWTH","M","2013-01",1.727596,
"OECD","CPI","TOT","AGRWTH","M","2013-02",1.816291,
"OECD","CPI","TOT","AGRWTH","M","2013-03",1.576662,
"OECD","CPI","TOT","AGRWTH","M","2013-04",1.267154,
"OECD","CPI","TOT","AGRWTH","M","2013-05",1.49417,
"OECD","CPI","TOT","AGRWTH","M","2013-06",1.80672,
"OECD","CPI","TOT","AGRWTH","M","2013-07",1.966598,
"OECD","CPI","TOT","AGRWTH","M","2013-08",1.701089,
"OECD","CPI","TOT","AGRWTH","M","2013-09",1.496271,
"OECD","CPI","TOT","AGRWTH","M","2013-10",1.302982,
"OECD","CPI","TOT","AGRWTH","M","2013-11",1.46482,
"OECD","CPI","TOT","AGRWTH","M","2013-12",1.636675,
"OECD","CPI","TOT","AGRWTH","M","2014-01",1.655518,
"OECD","CPI","TOT","AGRWTH","M","2014-02",1.455353,
"OECD","CPI","TOT","AGRWTH","M","2014-03",1.580014,
"OECD","CPI","TOT","AGRWTH","M","2014-04",2.031303,
"OECD","CPI","TOT","AGRWTH","M","2014-05",2.093734,
"OECD","CPI","TOT","AGRWTH","M","2014-06",2.07097,
"OECD","CPI","TOT","AGRWTH","M","2014-07",1.974864,
"OECD","CPI","TOT","AGRWTH","M","2014-08",1.8346,
"OECD","CPI","TOT","AGRWTH","M","2014-09",1.758572,
"OECD","CPI","TOT","AGRWTH","M","2014-10",1.757528,
"OECD","CPI","TOT","AGRWTH","M","2014-11",1.545981,
"OECD","CPI","TOT","AGRWTH","M","2014-12",1.133101,
"OECD","CPI","TOT","AGRWTH","M","2015-01",0.5868654,
"OECD","CPI","TOT","AGRWTH","M","2015-02",0.6469851,
"OECD","CPI","TOT","AGRWTH","M","2015-03",0.6905729,
"OECD","CPI","TOT","AGRWTH","M","2015-04",0.554004,
"OECD","CPI","TOT","AGRWTH","M","2015-05",0.6894612,
"OECD","CPI","TOT","AGRWTH","M","2015-06",0.7021724,
"OECD","CPI","TOT","AGRWTH","M","2015-07",0.6815348,
"OECD","CPI","TOT","AGRWTH","M","2015-08",0.6693923,
"OECD","CPI","TOT","AGRWTH","M","2015-09",0.5328691,
"OECD","CPI","TOT","AGRWTH","M","2015-10",0.6852949,
"OECD","CPI","TOT","AGRWTH","M","2015-11",0.8042626,
"OECD","CPI","TOT","AGRWTH","M","2015-12",0.9629462,
"OECD","CPI","TOT","AGRWTH","M","2016-01",1.286175,
"OECD","CPI","TOT","AGRWTH","M","2016-02",1.061047,
"OECD","CPI","TOT","AGRWTH","M","2016-03",0.9384472,
"OECD","CPI","TOT","AGRWTH","M","2016-04",0.947237,
"OECD","CPI","TOT","AGRWTH","M","2016-05",0.9189703,
"OECD","CPI","TOT","AGRWTH","M","2016-06",1.005273,
"OECD","CPI","TOT","AGRWTH","M","2016-07",0.9932294,
"OECD","CPI","TOT","AGRWTH","M","2016-08",1.057602,
"OECD","CPI","TOT","AGRWTH","M","2016-09",1.284541,
"OECD","CPI","TOT","AGRWTH","M","2016-10",1.451979,
"OECD","CPI","TOT","AGRWTH","M","2016-11",1.542052,
"OECD","CPI","TOT","AGRWTH","M","2016-12",1.877112,
"OECD","CPI","TOT","AGRWTH","M","2017-01",2.358871,
"OECD","CPI","TOT","AGRWTH","M","2017-02",2.551095,
"OECD","CPI","TOT","AGRWTH","M","2017-03",2.358607,
"OECD","CPI","TOT","AGRWTH","M","2017-04",2.396696,
"OECD","CPI","TOT","AGRWTH","M","2017-05",2.160206,
"OECD","CPI","TOT","AGRWTH","M","2017-06",1.971715,
"OECD","CPI","TOT","AGRWTH","M","2017-07",2.006626,
"OECD","CPI","TOT","AGRWTH","M","2017-08",2.220286,
"OECD","CPI","TOT","AGRWTH","M","2017-09",2.378161,
"OECD","CPI","TOT","AGRWTH","M","2017-10",2.223802,
"OECD","CPI","TOT","AGRWTH","M","2017-11",2.411904,
"OECD","CPI","TOT","AGRWTH","M","2017-12",2.344312,
"OECD","CPI","TOT","AGRWTH","M","2018-01",2.19468,
"OECD","CPI","TOT","AGRWTH","M","2018-02",2.210845,
"OECD","CPI","TOT","AGRWTH","M","2018-03",2.28479,
"OECD","CPI","TOT","AGRWTH","M","2018-04",2.273286,
"OECD","CPI","TOT","AGRWTH","M","2018-05",2.612075,
"OECD","CPI","TOT","AGRWTH","M","2018-06",2.790019,
"OECD","CPI","TOT","AGRWTH","M","2018-07",2.888371,
"OECD","CPI","TOT","AGRWTH","M","2018-08",2.897107,
"OECD","CPI","TOT","AGRWTH","M","2018-09",2.9136,
"OECD","CPI","TOT","AGRWTH","M","2018-10",3.110044,
"OECD","CPI","TOT","AGRWTH","M","2018-11",2.706623,
"OECD","CPI","TOT","AGRWTH","M","2018-12",2.39145,
"OECD","CPI","TOT","AGRWTH","M","2019-01",2.112022,
"OECD","CPI","TOT","AGRWTH","M","2019-02",2.092899,
"OECD","CPI","TOT","AGRWTH","M","2019-03",2.282232,
"OECD","CPI","TOT","AGRWTH","M","2019-04",2.486155,
"OECD","CPI","TOT","AGRWTH","M","2019-05",2.265981,
"OECD","CPI","TOT","AGRWTH","M","2019-06",2.083507,
"OECD","CPI","TOT","AGRWTH","M","2019-07",2.158868,
"OECD","CPI","TOT","AGRWTH","M","2019-08",1.963075,
"OECD","CPI","TOT","AGRWTH","M","2019-09",1.679504,
"OECD","CPI","TOT","AGRWTH","M","2019-10",1.650634,
"OECD","CPI","TOT","AGRWTH","M","2019-11",1.896955,
"OECD","CPI","TOT","AGRWTH","M","2019-12",2.169018,
"OECD","CPI","TOT","AGRWTH","M","2020-01",2.378607,
"OECD","CPI","TOT","AGRWTH","M","2020-02",2.268225,
"OECD","CPI","TOT","AGRWTH","M","2020-03",1.752689,
"OECD","CPI","TOT","AGRWTH","M","2020-04",0.8454417,
"OECD","CPI","TOT","AGRWTH","M","2020-05",0.7049391,
"OECD","CPI","TOT","AGRWTH","M","2020-06",1.052354,
"OECD","CPI","TOT","AGRWTH","M","2020-07",1.143548,
"OECD","CPI","TOT","AGRWTH","M","2020-08",1.227385,
"OECD","CPI","TOT","AGRWTH","M","2020-09",1.259661,
"OECD","CPI","TOT","AGRWTH","M","2020-10",1.147627,
"OECD","CPI","TOT","AGRWTH","M","2020-11",1.182986,
"OECD","CPI","TOT","AGRWTH","M","2020-12",1.230739,
"OECD","CPI","TOT","AGRWTH","M","2021-01",1.57613,
"OECD","CPI","TOT","AGRWTH","M","2021-02",1.766829,
"OECD","CPI","TOT","AGRWTH","M","2021-03",2.407511,
"OECD","CPI","TOT","AGRWTH","M","2021-04",3.340496,
"OECD","CPI","TOT","AGRWTH","M","2021-05",3.833488,
"OECD","CPI","TOT","AGRWTH","M","2021-06",4.05115,
"OECD","CPI","TOT","AGRWTH","M","2021-07",4.238069,
"OECD","CPI","TOT","AGRWTH","M","2021-08",4.358445,
